District,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
1,All Students,2015,4 year August,1006,689,68.5,641,63.7,93,180,17.9,26.1,461,45.8,66.9,48,4.8,7,206,20.5,106,10.5,0,0,5,0.5
1,All Students,2014,4 year August,957,631,65.9,597,62.4,94.6,159,16.6,25.2,438,45.8,69.4,34,3.6,5.4,202,21.1,112,11.7,2,0.2,8,0.8
1,All Students,2013,4 year August,1043,639,61.3,608,58.3,95.1,215,20.6,33.6,393,37.7,61.5,31,3,4.9,258,24.7,121,11.6,7,0.7,17,1.6
1,All Students,2012,4 year August,1069,652,61,641,60,98.3,229,21.4,35.1,412,38.5,63.2,11,1,1.7,258,24.1,148,13.8,7,0.7,3,0.3
1,All Students,2011,4 year August,1128,665,59,635,56.3,95.5,166,14.7,25,469,41.6,70.5,30,2.7,4.5,303,26.9,143,12.7,10,0.9,5,0.4
1,All Students,2010,4 year August,1104,590,53.4,564,51.1,95.6,127,11.5,21.5,437,39.6,74.1,26,2.4,4.4,308,27.9,197,17.8,2,0.2,5,0.5
1,All Students,2009,4 year August,1080,597,55.3,569,52.7,95.3,154,14.3,25.8,415,38.4,69.5,28,2.6,4.7,283,26.2,189,17.5,2,0.2,8,0.7
1,All Students,2008,4 year August,1128,685,60.7,661,58.6,96.5,187,16.6,27.3,474,42,69.2,24,2.1,3.5,246,21.8,172,15.2,12,1.1,12,1.1
1,All Students,2007,4 year August,1069,646,60.4,559,52.3,86.5,155,14.5,24,404,37.8,62.5,87,8.1,13.5,244,22.8,147,13.8,15,1.4,16,1.5
1,All Students,2006,4 year August,905,563,62.2,498,55,88.5,126,13.9,22.4,372,41.1,66.1,65,7.2,11.5,211,23.3,102,11.3,15,1.7,14,1.5
1,All Students,2005,4 year August,886,560,63.2,430,48.5,76.8,115,13,20.5,315,35.6,56.3,130,14.7,23.2,217,24.5,86,9.7,7,0.8,16,1.8
1,All Students,2015,4 year June,1006,675,67.1,630,62.6,93.3,179,17.8,26.5,451,44.8,66.8,45,4.5,6.7,220,21.9,106,10.5,0,0,5,0.5
1,All Students,2014,4 year June,957,614,64.2,581,60.7,94.6,158,16.5,25.7,423,44.2,68.9,33,3.4,5.4,219,22.9,112,11.7,2,0.2,8,0.8
1,All Students,2013,4 year June,1043,613,58.8,588,56.4,95.9,211,20.2,34.4,377,36.1,61.5,25,2.4,4.1,284,27.2,121,11.6,7,0.7,17,1.6
1,All Students,2012,4 year June,1069,629,58.8,617,57.7,98.1,228,21.3,36.2,389,36.4,61.8,12,1.1,1.9,281,26.3,148,13.8,7,0.7,3,0.3
1,All Students,2011,4 year June,1128,649,57.5,622,55.1,95.8,166,14.7,25.6,456,40.4,70.3,27,2.4,4.2,319,28.3,143,12.7,10,0.9,5,0.4
1,All Students,2010,4 year June,1104,564,51.1,543,49.2,96.3,127,11.5,22.5,416,37.7,73.8,21,1.9,3.7,334,30.3,197,17.8,2,0.2,5,0.5
1,All Students,2009,4 year June,1080,569,52.7,544,50.4,95.6,153,14.2,26.9,391,36.2,68.7,25,2.3,4.4,311,28.8,189,17.5,2,0.2,8,0.7
1,All Students,2008,4 year June,1128,639,56.6,620,55,97,184,16.3,28.8,436,38.7,68.2,19,1.7,3,290,25.7,173,15.3,13,1.2,12,1.1
1,All Students,2007,4 year June,1069,608,56.9,535,50,88,153,14.3,25.2,382,35.7,62.8,73,6.8,12,280,26.2,148,13.8,16,1.5,15,1.4
1,All Students,2006,4 year June,905,549,60.7,493,54.5,89.8,125,13.8,22.8,368,40.7,67,56,6.2,10.2,225,24.9,102,11.3,15,1.7,14,1.5
1,All Students,2005,4 year June,886,522,58.9,419,47.3,80.3,113,12.8,21.6,306,34.5,58.6,103,11.6,19.7,255,28.8,86,9.7,7,0.8,16,1.8
1,All Students,2004,4 year June,756,470,62.2,347,45.9,73.8,111,14.7,23.6,236,31.2,50.2,123,16.3,26.2,213,28.2,68,9,3,0.4,2,0.3
1,All Students,2003,4 year June,603,328,54.4,285,47.3,86.9,60,10,18.3,225,37.3,68.6,43,7.1,13.1,209,34.7,60,10,5,0.8,1,0.2
1,All Students,2002,4 year June,381,212,55.6,185,48.6,87.3,18,4.7,8.5,167,43.8,78.8,27,7.1,12.7,130,34.1,28,7.3,5,1.3,6,1.6
1,All Students,2001,4 year June,376,252,67,205,54.5,81.3,19,5.1,7.5,186,49.5,73.8,47,12.5,18.7,58,15.4,54,14.4,11,2.9,1,0.3
1,All Students,2014,5 year August,974,702,72.1,643,66,91.6,161,16.5,22.9,482,49.5,68.7,59,6.1,8.4,100,10.3,149,15.3,7,0.7,16,1.6
1,All Students,2013,5 year August,1074,708,65.9,657,61.2,92.8,218,20.3,30.8,439,40.9,62,51,4.7,7.2,155,14.4,180,16.8,8,0.7,22,2
1,All Students,2012,5 year August,1082,753,69.6,727,67.2,96.5,231,21.3,30.7,496,45.8,65.9,26,2.4,3.5,128,11.8,187,17.3,9,0.8,5,0.5
1,All Students,2011,5 year August,1169,766,65.5,722,61.8,94.3,166,14.2,21.7,556,47.6,72.6,44,3.8,5.7,175,15,209,17.9,14,1.2,3,0.3
1,All Students,2010,5 year August,1144,680,59.4,645,56.4,94.9,127,11.1,18.7,518,45.3,76.2,35,3.1,5.1,182,15.9,263,23,7,0.6,10,0.9
1,All Students,2009,5 year August,1110,705,63.5,672,60.5,95.3,157,14.1,22.3,515,46.4,73,33,3,4.7,142,12.8,244,22,5,0.5,12,1.1
1,All Students,2008,5 year August,1156,757,65.5,722,62.5,95.4,189,16.3,25,533,46.1,70.4,35,3,4.6,139,12,222,19.2,16,1.4,20,1.7
1,All Students,2007,5 year August,1098,730,66.5,614,55.9,84.1,157,14.3,21.5,457,41.6,62.6,116,10.6,15.9,84,7.7,241,21.9,24,2.2,19,1.7
1,All Students,2006,5 year August,1050,705,67.1,590,56.2,83.7,135,12.9,19.1,455,43.3,64.5,115,11,16.3,82,7.8,206,19.6,33,3.1,23,2.2
